cpf,saldo_antes_da_operacao,saldo_depois_da_operacao,valor_da_movimentacao,status,motivo_da_movimentacao,horario_movimentacao
037.296.581-40,379.05791772706135,76.61531528071197,302.4426024463494,completed,transferencia,2023-06-11 11:21:52
507.941.236-43,4429.09556940214,3673.276468050847,755.8191013512933,completed,,2023-06-25 10:08:42
632.471.905-70,9693.983108084023,6686.613496367834,3007.369611716189,completed,transferencia,2023-04-25 09:25:06
367.589.042-29,10121.712293364519,4542.017707780804,5579.694585583715,completed,transferencia,2023-09-27 09:13:12
482.731.905-79,3603.369426304754,3064.279014546556,539.090411758198,completed,deposito,2023-10-06 23:36:25
732.805.149-32,6942.737133280108,6467.779335055446,474.95779822466216,completed,pagamento,2023-10-03 04:50:04
738.951.240-79,1275.9225545054417,749.12996083723,526.7925936682117,completed,deposito,2023-07-25 14:21:47
390.427.185-79,7080.734976266753,6451.694353466,629.0406228007528,completed,deposito,2023-10-12 00:12:23
470.983.261-78,3385.643162025026,2584.164568014083,801.4785940109426,completed,,2023-09-03 12:16:54
935.147.682-00,2959.348427032106,2486.375151674093,472.97327535801304,completed,transferencia,2023-08-13 14:32:04
149.735.280-05,8729.89329055208,574.1224909495677,8155.770799602512,completed,deposito,2023-07-04 21:38:18
864.257.109-85,416.42024779909957,416.42024779909957,571.0304563322832,denied,saque,2023-05-29 22:04:59
160.837.294-40,2725.9779002223086,1726.4651792811583,999.5127209411502,completed,pagamento,2023-03-30 18:30:48
736.905.821-21,4345.785194689868,181.67354551901553,4164.111649170853,completed,,2023-08-04 08:52:26
856.473.092-83,3976.8537211906128,2855.1678432324175,1121.6858779581953,completed,pagamento,2023-06-21 12:31:58
769.214.358-73,7395.718323948323,7020.991977911859,374.7263460364635,completed,saque,2023-10-27 13:36:26
310.265.479-70,4470.4186051478355,4377.522396680316,92.8962084675199,completed,transferencia,2023-08-13 02:22:11
234.107.698-03,329.1740008435943,258.9058332957393,70.26816754785501,completed,deposito,2023-02-01 18:15:36
708.496.315-48,784.2823051831416,694.9228159249458,89.35948925819585,completed,pagamento,2023-07-03 08:56:49
498.057.621-49,4129.876042133557,3789.929810345357,339.9462317882004,completed,deposito,2023-10-24 12:39:21
836.021.479-40,4424.096770685581,4382.664635271637,41.432135413944096,completed,,2023-09-06 14:45:08
109.827.536-59,6997.1114101969215,6563.691049022532,433.4203611743899,completed,,2023-02-10 18:10:02
024.895.317-60,4749.8970344405225,3200.97742301413,1548.9196114263925,completed,transferencia,2023-07-16 19:24:52
430.689.752-47,6550.45026287778,1641.8102452133799,4908.6400176644,completed,deposito,2023-06-16 11:11:46
604.982.135-60,20406.554328452883,15211.302263722457,5195.252064730426,completed,saque,2023-06-17 15:40:35
693.184.275-73,3589.116227185539,3589.116227185539,4740.164979574473,denied,,2023-10-20 23:42:31
235.081.467-07,3874.9548981478565,2452.5602609782272,1422.3946371696295,completed,saque,2023-07-17 10:31:05
743.682.059-10,447.7806804659837,336.23222997264253,111.54845049334118,completed,transferencia,2023-07-22 09:43:10
394.681.075-66,2940.858285639666,1232.861544198971,1707.9967414406951,completed,pagamento,2023-09-21 22:06:01
738.951.240-79,607.1493305025976,587.9515597468084,19.197770755789243,completed,transferencia,2023-07-31 21:02:16
746.928.503-29,4626.535319803761,4626.535319803761,8890.37880080486,denied,,2023-02-16 05:06:40
428.531.790-79,14411.245539801625,10514.93156795307,3896.313971848555,completed,transferencia,2023-02-20 20:17:41
746.192.083-96,3938.341822106445,3938.341822106445,7626.266114702872,denied,saque,2023-06-18 13:43:32
547.368.201-44,5146.89802934517,5146.89802934517,9175.121784657522,denied,transferencia,2023-09-02 07:54:51
745.392.681-55,9467.525400012984,3987.2359437875693,5480.289456225415,completed,pagamento,2023-04-09 02:24:52
012.476.398-78,2131.1258268924576,1890.1830811469968,240.94274574546068,completed,saque,2023-06-11 15:29:41
267.349.801-03,5142.535123212978,1379.4291521746968,3763.105971038281,completed,,2023-06-26 20:26:00
523.746.809-83,2180.659506695061,1905.512211083354,275.14729561170685,completed,,2023-10-08 07:45:38
524.807.693-56,5972.074966717424,4994.27731104963,977.7976556677938,completed,transferencia,2023-06-20 06:12:18
280.451.739-04,24031.17683592148,23037.8230105581,993.3538253633823,completed,pagamento,2023-10-17 00:53:28
613.985.024-05,2023.876802623663,1152.1006630258066,871.7761395978565,completed,deposito,2023-09-26 20:26:27
840.367.295-00,1567.806703820124,1359.3148671094284,208.49183671069565,completed,saque,2023-07-16 13:41:05
142.387.905-88,4815.758082105225,3063.316439510995,1752.4416425942297,completed,,2023-01-09 03:39:08
174.306.298-22,468.837253418621,468.837253418621,831.2171760293211,denied,transferencia,2023-03-17 17:31:42
693.487.152-91,10758.312936954248,3190.693611116323,7567.619325837924,completed,,2023-07-31 08:43:03
287.453.160-07,700.5378783184846,700.5378783184846,787.4831428170227,denied,transferencia,2023-05-09 17:01:30
689.521.704-58,3927.7244058441092,2877.545858584086,1050.1785472600234,completed,saque,2023-02-21 18:56:54
345.170.826-44,3519.807219706201,2519.800569621702,1000.0066500844991,completed,deposito,2023-02-20 11:07:39
708.496.315-48,2231.106552140755,1518.0176624263954,713.0888897143595,completed,saque,2023-05-16 06:13:15
518.604.237-44,4862.26831533509,3904.5561020891005,957.7122132459896,completed,transferencia,2023-03-15 00:10:34
692.407.351-43,3424.111933689787,2510.4213257837478,913.690607906039,completed,pagamento,2023-01-23 11:45:23
912.405.683-98,24595.625110447792,22861.87940814988,1733.7457022979102,completed,transferencia,2023-07-23 07:18:36
910.324.687-69,4672.233339872242,3138.924081002341,1533.3092588699008,completed,saque,2023-03-23 13:35:22
738.951.240-79,3936.8926822132717,3594.3584253258514,342.5342568874205,completed,transferencia,2023-06-10 08:52:28
915.632.408-15,4188.608976321646,4097.219013144579,91.38996317706727,completed,pagamento,2023-09-11 23:55:02
543.879.062-00,13399.466605469583,4984.881838777996,8414.584766691587,completed,saque,2023-01-10 09:50:08
560.489.127-49,4689.842342847956,2707.6085239532727,1982.2338188946837,completed,saque,2023-04-03 19:32:47
280.451.739-04,19400.0023368711,15157.0911299957,4242.911206875399,completed,deposito,2023-09-30 03:30:58
126.035.849-60,3664.0798636819877,3246.467727759228,417.6121359227594,completed,deposito,2023-08-13 17:11:24
523.746.809-83,7161.138626983482,5657.713328520516,1503.425298462966,completed,deposito,2023-01-06 05:25:27
378.950.126-30,1335.9801549405659,554.6508949498639,781.329259990702,completed,pagamento,2023-03-13 14:35:33
394.681.075-66,3390.734233008465,2297.4885188853914,1093.2457141230734,completed,pagamento,2023-05-01 05:14:28
671.843.209-13,10193.486550956688,202.35868302635572,9991.127867930332,completed,pagamento,2023-08-23 01:22:41
194.825.607-01,11987.06140453614,3723.53848507586,8263.52291946028,completed,pagamento,2023-10-02 21:53:56
693.487.152-91,16171.180155051756,11015.139809669174,5156.040345382581,completed,deposito,2023-03-02 11:50:19
235.081.467-07,5048.031976965489,3500.3693686387887,1547.6626083267,completed,saque,2023-07-03 16:20:50
743.682.059-10,3574.031765126211,2786.956563740042,787.0752013861695,completed,saque,2023-07-11 20:26:15
523.746.809-83,6207.018465363373,5668.285881448199,538.7325839151741,completed,transferencia,2023-06-28 07:29:25
514.720.693-07,23957.98529626442,22295.049711284213,1662.935584980208,completed,saque,2023-04-06 21:13:59
206.435.918-42,3435.970878053509,2582.6433312083022,853.3275468452065,completed,pagamento,2023-06-02 11:26:39
280.456.931-42,21242.00943727832,12657.483263794433,8584.526173483888,completed,transferencia,2023-08-07 16:33:43
708.496.315-48,2172.088500659858,1768.2803450147517,403.80815564510624,completed,transferencia,2023-02-10 09:29:56
093.274.186-03,7777.439947704518,6411.550756462004,1365.8891912425142,completed,saque,2023-02-14 08:56:59
825.406.793-74,7157.0902180116245,7072.627607597753,84.46261041387122,completed,transferencia,2023-01-13 04:13:16
970.543.621-52,4140.39802598536,3273.3997331779024,866.9982928074573,completed,deposito,2023-04-25 23:40:30
049.786.531-93,4301.490178676594,3794.8532807299453,506.6368979466488,completed,transferencia,2023-05-28 02:44:47
926.847.103-50,5858.927934633054,5118.839506201702,740.0884284313521,completed,deposito,2023-04-07 02:35:52
745.392.681-55,17902.200979785117,12271.215122127083,5630.985857658035,completed,saque,2023-04-20 02:28:47
206.435.918-42,3244.2919323726746,2818.834362449117,425.4575699235576,completed,saque,2023-03-29 11:07:44
860.251.493-05,7751.846137929961,7751.846137929961,8711.527309651823,denied,saque,2023-08-29 08:07:33
015.698.234-05,6064.591092374058,5182.532176069807,882.0589163042507,completed,,2023-10-14 01:06:12
910.324.687-69,3326.459470467774,2391.4459051582053,935.0135653095688,completed,deposito,2023-01-31 10:20:48
935.147.682-00,215.21249021571754,215.21249021571754,673.704176104165,denied,deposito,2023-07-28 21:05:51
082.461.397-03,7500.826237318905,6647.5730674986335,853.2531698202723,completed,transferencia,2023-07-16 05:46:45
932.750.846-74,12784.017692130778,4092.5630402556017,8691.454651875176,completed,deposito,2023-09-17 05:55:47
428.531.790-79,19058.63630656937,16138.426985736805,2920.209320832564,completed,deposito,2023-05-09 08:09:49
501.946.387-66,24487.980435121808,16611.316623440267,7876.66381168154,completed,deposito,2023-10-15 21:23:08
537.420.168-90,7332.8541930388365,6411.292030770031,921.5621622688061,completed,,2023-03-11 19:03:38
729.354.801-04,236.24989896180193,174.95170442304743,61.2981945387545,completed,,2023-05-17 09:10:32
570.923.164-99,3194.694508396315,2290.164966219852,904.5295421764631,completed,transferencia,2023-02-26 22:19:33
693.184.275-73,13499.093923858916,5757.5502822350945,7741.543641623822,completed,deposito,2023-03-13 15:09:32
874.123.906-78,16417.662207587433,11580.910896415753,4836.751311171679,completed,deposito,2023-04-27 12:52:59
769.214.358-73,4421.586168651933,2688.0427884321816,1733.543380219751,completed,saque,2023-06-04 01:33:46
470.983.261-78,3218.254117302791,1687.4865577314417,1530.7675595713495,completed,saque,2023-03-23 19:37:30
825.406.793-74,3898.8949861104693,2301.683613784394,1597.2113723260757,completed,pagamento,2023-01-08 04:07:09
683.451.279-91,5070.840985813431,5070.840985813431,7137.630367695441,denied,pagamento,2023-10-22 01:03:20
870.459.362-65,2113.6390517103932,1292.7002520776887,820.9387996327046,completed,saque,2023-08-04 04:32:56
390.427.185-79,7926.946081809444,6068.023827185072,1858.9222546243718,completed,,2023-05-10 15:00:04
743.682.059-10,3496.419741183708,3212.125306187447,284.2944349962608,completed,deposito,2023-09-24 10:43:10
840.367.295-00,1177.362052139879,882.5461771851467,294.81587495473235,completed,saque,2023-03-22 00:48:37
490.821.756-49,20525.76815889133,18283.85943668149,2241.9087222098374,completed,pagamento,2023-10-08 00:12:55
746.192.083-96,13196.427540512304,3405.1415004467963,9791.286040065508,completed,,2023-02-10 22:24:56
972.403.168-31,19934.019001503508,16785.33566696653,3148.6833345369796,completed,,2023-09-21 03:39:43
128.569.073-77,2294.013850101803,2133.1779957656518,160.83585433615144,completed,deposito,2023-06-17 08:08:13
972.403.168-31,19438.657168939455,13917.453339058833,5521.203829880621,completed,pagamento,2023-01-18 06:33:10
394.681.075-66,7119.915654626238,6264.228192285543,855.6874623406959,completed,,2023-10-14 22:13:56
139.058.672-30,2463.178843466616,2304.0286945924427,159.15014887417328,completed,transferencia,2023-04-06 12:52:44
650.832.147-17,7466.568825003154,5758.096145757639,1708.4726792455158,completed,saque,2023-08-28 23:29:38
910.324.687-69,2568.2436900800603,1356.1573416849983,1212.086348395062,completed,,2023-03-30 09:06:10
463.279.501-16,2338.6057666899105,1350.9811370390767,987.6246296508339,completed,deposito,2023-06-30 09:42:56
387.021.694-87,2923.032177238163,2426.5860480816377,496.4461291565254,completed,saque,2023-06-23 04:14:46
394.681.075-66,2003.1826799271803,1624.911687885794,378.2709920413863,completed,transferencia,2023-09-15 15:57:14
026.517.948-30,1898.558020884575,1299.8490183921444,598.7090024924304,completed,,2023-05-30 07:27:05
267.349.801-03,16773.58963904751,7027.1668632367455,9746.422775810765,completed,pagamento,2023-08-02 02:55:21
523.746.809-83,3214.883614157623,2096.65114961776,1118.2324645398628,completed,transferencia,2023-10-06 01:54:56
029.457.361-52,2455.801842174119,1263.0817633297709,1192.720078844348,completed,deposito,2023-06-03 04:10:20
812.456.079-01,4752.674081144753,4752.674081144753,6644.503731797027,denied,saque,2023-08-29 21:30:54
783.961.254-73,19376.171514148544,17244.818478235487,2131.353035913057,completed,,2023-09-22 19:03:18
280.456.931-42,12893.027860186961,8769.229559901822,4123.798300285141,completed,deposito,2023-01-15 19:05:49
089.413.756-57,4778.680371494078,3137.925770619673,1640.754600874405,completed,deposito,2023-09-08 16:20:04
397.428.615-28,7687.371918921635,7594.926293718731,92.44562520290386,completed,deposito,2023-09-11 02:02:42
605.932.148-89,21306.34988922118,13186.428571301676,8119.921317919503,completed,saque,2023-09-02 01:29:51
430.689.752-47,11841.915900974634,5745.383980687871,6096.531920286763,completed,deposito,2023-07-29 17:27:51
935.147.682-00,3318.457458085363,3109.9039868473233,208.5534712380401,completed,,2023-09-25 01:08:31
860.251.493-05,23996.238693622017,17409.708301829738,6586.53039179228,completed,deposito,2023-06-11 22:10:53
093.274.186-03,17900.326222418535,9163.77874543897,8736.547476979564,completed,deposito,2023-02-06 09:53:21
